artist,countries_reached,global_streams,global_days
Sia,68,1022568138.0,1658
The Kid LAROI,68,3962757308.0,638
5 Seconds of Summer,63,2162611293.0,1278
Troye Sivan,54,247701852.0,1622
Kylie Minogue,44,148300325.0,186
Vance Joy,35,457275369.0,1719
Bag Raiders,24,29525352.0,85
HAIM,22,6051223.0,38
FISHER,15,14344410.0,624
Angus & Julia Stone,10,3532041.0,237
Flume,10,9846470.0,151
Ruel,6,3583092.0,514
Empire of the Sun,6,211636.0,12
Tash Sultana,5,566788.0,84
Bliss n Eso,4,1013920.0,179
Savage Garden,4,789083.0,26
Alison Wonderland,3,405313.0,60
RÜFÜS DU SOL,3,104406.0,43
Pendulum,2,93212.0,4
PNAU,2,2614881.0,303
Hiatus Kaiyote,1,19355.0,4
Hilltop Hoods,1,452612.0,62
Illy,1,199035.0,36
Hooligan Hefs,1,666825.0,93
Matt Corby,1,5620.0,1
Little May,1,44361.0,3
Ocean Alley,1,1615943.0,238
Paul Kelly,1,279467.0,14
Peking Duk,1,2771172.0,303
ONEFOUR,1,1973882.0,175
Sticky Fingers,1,11751890.0,1153
Xavier Rudd,1,42272.0,3
