iso_num,country,total_streams_M,artists_count
32,Argentina,22.64,3
40,Austria,26.07,11
56,Belgium,47.04,11
68,Bolivia,2.45,3
76,Brazil,79.58,4
100,Bulgaria,1.21,4
124,Canada,231.42,8
152,Chile,20.97,4
170,Colombia,10.83,4
188,Costa Rica,5.96,5
203,Czech Republic,18.81,10
208,Denmark,61.28,7
214,Dominican Republic,1.3,4
218,Ecuador,4.36,4
818,Egypt,1.47,2
222,El Salvador,1.63,4
233,Estonia,2.01,6
246,Finland,34.53,8
250,France,98.66,9
276,Germany,213.16,11
300,Greece,5.27,6
320,Guatemala,3.22,5
340,Honduras,1.36,4
344,Hong Kong,9.78,6
348,Hungary,17.0,12
352,Iceland,2.42,6
356,India,79.76,3
360,Indonesia,116.03,5
372,Ireland,49.88,12
376,Israel,11.22,6
380,Italy,72.48,9
392,Japan,25.93,6
428,Latvia,3.32,7
440,Lithuania,3.16,8
442,Luxembourg,0.14,4
458,Malaysia,40.18,9
484,Mexico,73.35,5
504,Morocco,1.5,2
528,Netherlands,140.56,10
554,New Zealand,87.05,27
558,Nicaragua,0.53,2
578,Norway,108.4,9
591,Panama,1.87,4
600,Paraguay,2.04,4
604,Peru,11.9,4
608,Philippines,126.85,6
616,Poland,68.62,12
620,Portugal,20.72,8
642,Romania,6.71,7
643,Russia,9.6,4
682,Saudi Arabia,5.51,4
702,Singapore,42.36,8
703,Slovakia,5.9,8
710,South Africa,11.15,7
410,South Korea,3.77,5
724,Spain,41.96,5
752,Sweden,98.76,8
756,Switzerland,27.17,11
158,Taiwan,17.97,8
764,Thailand,23.11,8
792,Turkey,19.84,7
804,Ukraine,2.25,4
784,United Arab Emirates,4.08,5
826,United Kingdom,399.86,12
840,United States,1072.92,8
858,Uruguay,1.48,3
704,Vietnam,7.73,6
